entry_date,description,utr,credit_amount
2026-07-28,NEFT/UTR2026072801/RAZORPAY SOFTWARE PVT LTD,UTR2026072801,28266.26
2026-07-29,NEFT/UTR2026072901/RAZORPAY SOFTWARE PVT LTD,UTR2026072901,54123.15
2026-07-30,NEFT/UTR2026073001/RAZORPAY SOFTWARE PVT LTD,UTR2026073001,21846.32
2026-07-31,NEFT/UTR2026073101/RAZORPAY SOFTWARE PVT LTD,UTR2026073101,52672.16
2026-08-03,NEFT/UTR2026080301/RAZORPAY SOFTWARE PVT LTD,UTR2026080301,192898.39
2026-08-04,NEFT/UTR2026080401/RAZORPAY SOFTWARE PVT LTD,UTR2026080401,68418.72
2026-08-05,NEFT/UTR2026080501/RAZORPAY SOFTWARE PVT LTD,UTR2026080501,54103.25
2026-08-06,NEFT/UTR2026080601/RAZORPAY SOFTWARE PVT LTD,UTR2026080601,20311.64
2026-08-10,NEFT/UTR2026081001/RAZORPAY SOFTWARE PVT LTD,UTR2026081001,89332.44
2026-08-12,NEFT/UTR2026081201/RAZORPAY SOFTWARE PVT LTD,UTR2026081201,48624.85
2026-08-13,NEFT/UTR2026081301/RAZORPAY SOFTWARE PVT LTD,UTR2026081301,31257.06
2026-08-14,NEFT/UTR2026081401/RAZORPAY SOFTWARE PVT LTD,UTR2026081401,49216.87
2026-08-17,NEFT/UTR2026081701/RAZORPAY SOFTWARE PVT LTD,UTR2026081701,102478.38
2026-08-18,NEFT/UTR2026081801/RAZORPAY SOFTWARE PVT LTD,UTR2026081801,49199.87
2026-08-19,NEFT/UTR2026081901/RAZORPAY SOFTWARE PVT LTD,UTR2026081901,38779.53
2026-08-20,NEFT/UTR2026082001/RAZORPAY SOFTWARE PVT LTD,UTR2026082001,45790.46
2026-08-21,NEFT/UTR2026082101/RAZORPAY SOFTWARE PVT LTD,UTR2026082101,40825.42
2026-08-21,NEFT/UTR2026082101/RAZORPAY SOFTWARE PVT LTD,UTR2026082101,40825.42
2026-08-24,NEFT/UTR2026082401/RAZORPAY SOFTWARE PVT LTD,UTR2026082401,129972.46
2026-08-24,NEFT/UTR2026082401/RAZORPAY SOFTWARE PVT LTD,UTR2026082401,129972.46
2026-08-25,NEFT/UTR2026082501/RAZORPAY SOFTWARE PVT LTD,UTR2026082501,55376.02
2026-08-25,NEFT/UTR2026082501/RAZORPAY SOFTWARE PVT LTD,UTR2026082501,55376.02
2026-08-26,NEFT/UTR2026082601/RAZORPAY SOFTWARE PVT LTD,UTR2026082601,26296.86
2026-08-28,NEFT/UTR2026082801/RAZORPAY SOFTWARE PVT LTD,UTR2026082801,19191.68
