order_id,order_ts,amount,payment_id,method,payment_status,dispute_status,dispute_opened_at
ORD-000001,2026-07-27T08:47:32,4430.00,pay_SYN00000000001,NETBANKING,CAPTURED,,
ORD-000002,2026-07-27T09:49:49,5204.50,pay_SYN00000000002,NETBANKING,CAPTURED,,
ORD-000003,2026-07-27T10:21:03,5733.75,pay_SYN00000000003,UPI,CAPTURED,,
ORD-000004,2026-07-27T12:33:03,4743.00,pay_SYN00000000004,CARD,CAPTURED,,
ORD-000005,2026-07-27T17:05:06,7358.00,pay_SYN00000000005,WALLET,CAPTURED,,
ORD-000006,2026-07-27T18:29:23,7404.00,pay_SYN00000000006,UPI,FAILED,,
ORD-000007,2026-07-27T18:34:01,7311.50,pay_SYN00000000007,CARD,CAPTURED,,
ORD-000008,2026-07-27T18:42:25,4869.00,pay_SYN00000000008,CARD,CAPTURED,,
ORD-000009,2026-07-27T19:11:35,3890.99,pay_SYN00000000009,NETBANKING,CAPTURED,,
ORD-000010,2026-07-27T19:11:35,7959.25,pay_SYN00000000010,UPI,CAPTURED,,
ORD-000011,2026-07-27T20:17:00,7567.50,pay_SYN00000000011,WALLET,CAPTURED,,
ORD-000012,2026-07-28T08:30:18,8644.00,pay_SYN00000000012,WALLET,CAPTURED,,
ORD-000013,2026-07-28T11:01:58,2470.25,pay_SYN00000000013,CARD,CAPTURED,,
ORD-000014,2026-07-28T11:53:02,5079.00,pay_SYN00000000014,WALLET,CAPTURED,,
ORD-000015,2026-07-28T13:07:07,1635.00,pay_SYN00000000015,WALLET,CAPTURED,,
ORD-000016,2026-07-28T15:25:10,4596.99,pay_SYN00000000016,UPI,FAILED,,
ORD-000017,2026-07-28T19:36:49,6204.50,pay_SYN00000000017,NETBANKING,CAPTURED,,
ORD-000018,2026-07-28T19:55:27,9381.25,pay_SYN00000000018,UPI,CAPTURED,,
ORD-000019,2026-07-29T08:15:40,3950.00,pay_SYN00000000019,CARD,CAPTURED,,
ORD-000020,2026-07-29T09:50:00,7256.25,pay_SYN00000000020,NETBANKING,CAPTURED,,
ORD-000021,2026-07-29T09:53:41,5317.25,pay_SYN00000000021,CARD,CAPTURED,,
ORD-000022,2026-07-29T10:06:00,6581.00,pay_SYN00000000022,UPI,CAPTURED,,
ORD-000023,2026-07-29T11:42:24,5693.99,pay_SYN00000000023,UPI,CAPTURED,,
ORD-000024,2026-07-29T12:51:28,2105.00,pay_SYN00000000024,NETBANKING,CAPTURED,,
ORD-000025,2026-07-29T13:53:42,4235.75,pay_SYN00000000025,CARD,CAPTURED,,
ORD-000026,2026-07-29T14:10:02,1912.00,pay_SYN00000000026,UPI,CAPTURED,,
