utr,settled_on,entity_type,entity_id,order_id,method,gross_amount,fee,gst,net_amount
UTR2026072801,2026-07-28,payment,pay_SYN00000000003,ORD-000003,UPI,5733.75,0.00,0.00,5733.75
UTR2026072801,2026-07-28,payment,pay_SYN00000000005,ORD-000005,WALLET,7358.00,147.16,26.49,7184.35
UTR2026072801,2026-07-28,payment,pay_SYN00000000010,ORD-000010,UPI,7959.25,0.00,0.00,7959.25
UTR2026072801,2026-07-28,payment,pay_SYN00000000011,ORD-000011,WALLET,7567.50,151.35,27.24,7388.91
UTR2026072901,2026-07-29,payment,pay_SYN00000000001,ORD-000001,NETBANKING,4430.00,84.17,15.15,4330.68
UTR2026072901,2026-07-29,payment,pay_SYN00000000002,ORD-000002,NETBANKING,5204.50,98.89,17.80,5087.81
UTR2026072901,2026-07-29,payment,pay_SYN00000000004,ORD-000004,CARD,4743.00,94.86,17.07,4631.07
UTR2026072901,2026-07-29,payment,pay_SYN00000000007,ORD-000007,CARD,7311.50,146.23,26.32,7138.95
UTR2026072901,2026-07-29,payment,pay_SYN00000000008,ORD-000008,CARD,4869.00,97.38,17.53,4754.09
UTR2026072901,2026-07-29,payment,pay_SYN00000000009,ORD-000009,NETBANKING,3890.99,73.93,13.31,3803.75
UTR2026072901,2026-07-29,payment,pay_SYN00000000012,ORD-000012,WALLET,8644.00,172.88,31.12,8440.00
UTR2026072901,2026-07-29,payment,pay_SYN00000000014,ORD-000014,WALLET,5079.00,101.58,18.28,4959.14
UTR2026072901,2026-07-29,payment,pay_SYN00000000015,ORD-000015,WALLET,1635.00,32.70,5.89,1596.41
UTR2026072901,2026-07-29,payment,pay_SYN00000000018,ORD-000018,UPI,9381.25,0.00,0.00,9381.25
UTR2026073001,2026-07-30,payment,pay_SYN00000000013,ORD-000013,CARD,2470.25,49.41,8.89,2411.95
UTR2026073001,2026-07-30,payment,pay_SYN00000000017,ORD-000017,NETBANKING,6204.50,117.89,21.22,6065.39
UTR2026073001,2026-07-30,payment,pay_SYN00000000022,ORD-000022,UPI,6581.00,0.00,0.00,6581.00
UTR2026073001,2026-07-30,payment,pay_SYN00000000023,ORD-000023,UPI,5693.99,0.00,0.00,5693.99
UTR2026073001,2026-07-30,payment,pay_SYN00000000026,ORD-000026,UPI,1912.00,0.00,0.00,1912.00
UTR2026073001,2026-07-30,payment,pay_SYN00000000027,ORD-000027,UPI,2544.99,0.00,0.00,2544.99
UTR2026073001,2026-07-30,payment,pay_SYN00000000028,ORD-000028,UPI,3434.25,0.00,0.00,3434.25
UTR2026073001,2026-07-30,payment,pay_SYN00000000029,ORD-000029,UPI,1372.75,0.00,0.00,1372.75
UTR2026073001,2026-07-30,refund,rfnd_SYNPRE000005,ORD-PRE-0005,UPI,-8219.00,0.00,0.00,-8219.00
UTR2026073101,2026-07-31,payment,pay_SYN00000000019,ORD-000019,CARD,3950.00,79.00,14.22,3856.78
UTR2026073101,2026-07-31,payment,pay_SYN00000000020,ORD-000020,NETBANKING,7256.25,137.87,24.82,7093.56
UTR2026073101,2026-07-31,payment,pay_SYN00000000021,ORD-000021,CARD,5317.25,106.35,19.14,5191.76
UTR2026073101,2026-07-31,payment,pay_SYN00000000024,ORD-000024,NETBANKING,2105.00,40.00,7.20,2057.80
UTR2026073101,2026-07-31,payment,pay_SYN00000000025,ORD-000025,CARD,4235.75,84.72,15.25,4135.78
UTR2026073101,2026-07-31,payment,pay_SYN00000000030,ORD-000030,UPI,1328.99,0.00,0.00,1328.99
UTR2026073101,2026-07-31,payment,pay_SYN00000000032,ORD-000032,UPI,3982.00,0.00,0.00,3982.00
UTR2026073101,2026-07-31,payment,pay_SYN00000000034,ORD-000034,UPI,3382.50,0.00,0.00,3382.50
UTR2026073101,2026-07-31,payment,pay_SYN00000000036,ORD-000036,UPI,4715.75,0.00,0.00,4715.75
UTR2026073101,2026-07-31,payment,pay_SYN00000000037,ORD-000037,UPI,7987.25,0.00,0.00,7987.25
UTR2026073101,2026-07-31,payment,pay_SYN00000000039,ORD-000039,UPI,5095.00,0.00,0.00,5095.00
UTR2026073101,2026-07-31,payment,pay_SYN00000000040,ORD-000040,UPI,3844.99,0.00,0.00,3844.99
UTR2026080301,2026-08-03,payment,pay_SYN00000000031,ORD-000031,NETBANKING,9874.00,187.61,33.77,9652.62
UTR2026080301,2026-08-03,payment,pay_SYN00000000033,ORD-000033,CARD,9587.00,191.74,34.51,9360.75
UTR2026080301,2026-08-03,payment,pay_SYN00000000035,ORD-000035,CARD,4793.50,95.87,17.26,4680.37
UTR2026080301,2026-08-03,payment,pay_SYN00000000038,ORD-000038,CARD,219.00,4.38,0.79,213.83
UTR2026080301,2026-08-03,payment,pay_SYN00000000041,ORD-000041,UPI,6028.00,0.00,0.00,6028.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000042,ORD-000042,UPI,8416.00,0.00,0.00,8416.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000043,ORD-000043,WALLET,5278.00,105.56,19.00,5153.44
UTR2026080301,2026-08-03,payment,pay_SYN00000000044,ORD-000044,UPI,4832.99,0.00,0.00,4832.99
UTR2026080301,2026-08-03,payment,pay_SYN00000000045,ORD-000045,UPI,5332.00,0.00,0.00,5332.00
